CustomerID,SubscriptionType,StartDate,EndDate
coai,Basic,2022-01-01,2022-12-31
abcd,Premium,2022-02-01,2023-12-18
efgh,Basic,2022-03-01,2028-12-31
ijkl,Premium,2022-04-01,2025-12-31
mnop,Basic,2023-05-01,2024-12-31
uvwx,Basic,2022-07-01,2027-06-30
yzab,Premium,2022-08-01,2024-07-31
cdef,Basic,2022-09-01,2026-08-31
ghij,Premium,2022-10-01,2025-09-30
klmn,Basic,2022-11-01,2024-10-31
opqr,Premium,2022-12-01,2024-11-30
stuv,Basic,2023-01-01,2023-12-31
wxyz,Premium,2023-02-01,2025-01-31
defg,Premium,2023-06-01,2025-05-31
hijk,Basic,2023-07-01,2024-06-30
lmno,Premium,2023-08-01,2024-07-31
izzy,Basic,2023-09-25,2024-09-25
nsmf,Premium,2022-06-01,2024-05-31
pleb,Premium,2021-02-06,2025-03-30
dcfg,Premium,2020-02-10,2024-05-12
ntkc,Basic,2019-02-09,2026-08-28
zhsr,Premium,2020-06-05,2024-04-24
